,country,month,value,year,date
42,ニュージーランド,1,3039.0,2003,2003-01-01 00:00:00
23,オランダ,1,1623.0,2003,2003-01-01 00:00:00
24,スイス,1,1051.0,2003,2003-01-01 00:00:00
25,ベルギー,1,791.0,2003,2003-01-01 00:00:00
26,フィンランド,1,769.0,2003,2003-01-01 00:00:00
27,ポーランド,1,377.0,2003,2003-01-01 00:00:00
28,デンマーク,1,773.0,2003,2003-01-01 00:00:00
29,ノルウェー,1,498.0,2003,2003-01-01 00:00:00
30,オーストリア,1,757.0,2003,2003-01-01 00:00:00
31,ポルトガル,1,513.0,2003,2003-01-01 00:00:00
32,アイルランド,1,1110.0,2003,2003-01-01 00:00:00
33,アフリカ計,1,1338.0,2003,2003-01-01 00:00:00
34,北アメリカ計,1,63525.0,2003,2003-01-01 00:00:00
35,米国,1,50765.0,2003,2003-01-01 00:00:00
36,カナダ,1,11587.0,2003,2003-01-01 00:00:00
37,メキシコ,1,751.0,2003,2003-01-01 00:00:00
38,南アメリカ計,1,2099.0,2003,2003-01-01 00:00:00
39,ブラジル,1,964.0,2003,2003-01-01 00:00:00
40,オセアニア計,1,18693.0,2003,2003-01-01 00:00:00
41,豪州,1,15405.0,2003,2003-01-01 00:00:00
22,スウェーデン,1,1472.0,2003,2003-01-01 00:00:00
21,スペイン,1,855.0,2003,2003-01-01 00:00:00
43,無国籍・その他,1,94.0,2003,2003-01-01 00:00:00
19,イタリア,1,2357.0,2003,2003-01-01 00:00:00
0,総数,1,450847.0,2003,2003-01-01 00:00:00
1,アジア計,1,317311.0,2003,2003-01-01 00:00:00
2,韓国,1,147238.0,2003,2003-01-01 00:00:00
3,中国,1,40824.0,2003,2003-01-01 00:00:00
4,台湾,1,68464.0,2003,2003-01-01 00:00:00
20,ロシア,1,2484.0,2003,2003-01-01 00:00:00
6,タイ,1,4020.0,2003,2003-01-01 00:00:00
7,シンガポール,1,4112.0,2003,2003-01-01 00:00:00
8,マレーシア,1,4218.0,2003,2003-01-01 00:00:00
5,香港,1,23793.0,2003,2003-01-01 00:00:00
10,フィリピン,1,10224.0,2003,2003-01-01 00:00:00
9,インドネシア,1,3925.0,2003,2003-01-01 00:00:00
17,フランス,1,6445.0,2003,2003-01-01 00:00:00
16,英国,1,16746.0,2003,2003-01-01 00:00:00
15,ヨーロッパ計,1,47787.0,2003,2003-01-01 00:00:00
18,ドイツ,1,6065.0,2003,2003-01-01 00:00:00
13,イスラエル,1,661.0,2003,2003-01-01 00:00:00
12,インド,1,4238.0,2003,2003-01-01 00:00:00
11,ベトナム,1,1086.0,2003,2003-01-01 00:00:00
14,トルコ,1,410.0,2003,2003-01-01 00:00:00
